recall,precision
0.0,1.0
0.0526315789473684,1.0
0.1052631578947368,1.0
0.1578947368421052,0.5
0.2105263157894736,0.5714285714285714
0.2631578947368421,0.5
0.3157894736842105,0.5
0.3684210526315789,0.5384615384615384
0.4210526315789473,0.4210526315789473
0.4736842105263157,0.2093023255813953
0.5263157894736842,0.2272727272727272
0.5789473684210527,0.2291666666666666
0.631578947368421,0.2352941176470588
0.6842105263157895,0.2
0.7368421052631579,0.1228070175438596
0.7894736842105263,0.0714285714285714
0.8421052631578947,0.0683760683760683
0.8947368421052632,0.0699588477366255
0.9473684210526316,0.0689655172413793
1.0,0.0335689045936395
