recall,precision
0.0,1.0
0.2631578947368421,0.5
0.4210526315789473,0.2857142857142857
0.4210526315789473,0.4
0.4210526315789473,0.2105263157894736
0.5789473684210527,0.2244897959183673
0.631578947368421,0.2264150943396226
0.6842105263157895,0.1262135922330097
0.6842105263157895,0.134020618556701
0.6842105263157895,0.1428571428571428
0.6842105263157895,0.1884057971014492
0.6842105263157895,0.1645569620253164
0.7368421052631579,0.1076923076923077
0.7368421052631579,0.0813953488372093
0.7368421052631579,0.0933333333333333
0.7368421052631579,0.0729166666666666
0.7368421052631579,0.0823529411764705
0.7368421052631579,0.0777777777777777
0.7368421052631579,0.0725388601036269
0.7368421052631579,0.1
0.7368421052631579,0.1176470588235294
0.7894736842105263,0.0643776824034334
0.7894736842105263,0.0684931506849315
0.7894736842105263,0.0697674418604651
0.8421052631578947,0.0675105485232067
0.8947368421052632,0.065891472868217
0.8947368421052632,0.0682730923694779
0.9473684210526316,0.0681818181818181
0.9473684210526316,0.0656934306569343
0.9473684210526316,0.0569620253164556
0.9473684210526316,0.0612244897959183
0.9473684210526316,0.0535714285714285
0.9473684210526316,0.0573248407643312
0.9473684210526316,0.0555555555555555
0.9473684210526316,0.0491803278688524
0.9473684210526316,0.0523255813953488
0.9473684210526316,0.0508474576271186
0.9473684210526316,0.0454545454545454
0.9473684210526316,0.0481283422459893
0.9473684210526316,0.0432692307692307
0.9473684210526316,0.0456852791878172
0.9473684210526316,0.0445544554455445
0.9473684210526316,0.0403587443946188
0.9473684210526316,0.0424528301886792
0.9473684210526316,0.0414746543778801
0.9473684210526316,0.0378151260504201
0.9473684210526316,0.039647577092511
0.9473684210526316,0.0362903225806451
0.9473684210526316,0.0379746835443038
0.9473684210526316,0.0371900826446281
0.9473684210526316,0.0342205323193916
0.9473684210526316,0.0357142857142857
0.9473684210526316,0.0350194552529182
0.9473684210526316,0.0323741007194244
0.9473684210526316,0.0337078651685393
0.9473684210526316,0.0330275229357798
0.9473684210526316,0.0674157303370786
1.0,0.0119572057898049
1.0,0.0118824265165728
1.0,0.018664047151277
1.0,0.0190763052208835
1.0,0.0188866799204771
1.0,0.0193089430894308
1.0,0.0197505197505197
1.0,0.0195473251028806
1.0,0.02
1.0,0.0197916666666666
1.0,0.0202558635394456
1.0,0.0207423580786026
1.0,0.0205183585313174
1.0,0.0210176991150442
1.0,0.0215419501133786
1.0,0.0213004484304932
1.0,0.0218390804597701
1.0,0.021590909090909
1.0,0.0221445221445221
1.0,0.0227272727272727
1.0,0.0224586288416075
1.0,0.0230582524271844
1.0,0.0236907730673316
1.0,0.0233990147783251
1.0,0.0240506329113924
1.0,0.02375
1.0,0.0244215938303341
1.0,0.0251322751322751
1.0,0.0248041775456919
1.0,0.0255376344086021
1.0,0.0263157894736842
1.0,0.0259562841530054
1.0,0.0267605633802816
1.0,0.0263888888888888
1.0,0.0272206303724928
1.0,0.0281065088757396
1.0,0.0276967930029154
1.0,0.0286144578313253
1.0,0.0295950155763239
1.0,0.0291411042944785
1.0,0.0301587301587301
1.0,0.0296875
1.0,0.0307443365695792
1.0,0.0318791946308724
1.0,0.0313531353135313
1.0,0.0325342465753424
1.0,0.0335097001763668
1.0,0.0185365853658536
1.0,0.0183574879227053
1.0,0.0181818181818181
1.0,0.0180094786729857
1.0,0.0178403755868544
1.0,0.0176744186046511
1.0,0.0175115207373271
1.0,0.0173515981735159
1.0,0.0171945701357466
1.0,0.0170403587443946
1.0,0.0168888888888888
1.0,0.0167400881057268
1.0,0.016593886462882
1.0,0.0164502164502164
1.0,0.0163090128755364
1.0,0.0161702127659574
1.0,0.0160337552742616
1.0,0.0158995815899581
1.0,0.0157676348547717
1.0,0.0156378600823045
1.0,0.0155102040816326
1.0,0.0153846153846153
1.0,0.0152610441767068
1.0,0.0151394422310756
1.0,0.0150197628458498
1.0,0.0149019607843137
1.0,0.0147859922178988
1.0,0.0146718146718146
1.0,0.01455938697318
1.0,0.0144486692015209
1.0,0.0143396226415094
1.0,0.0142322097378277
1.0,0.0141263940520446
1.0,0.0140221402214022
1.0,0.0139194139194139
1.0,0.0138181818181818
1.0,0.0137184115523465
1.0,0.0136200716845878
1.0,0.0135231316725978
1.0,0.0134275618374558
1.0,0.0133333333333333
1.0,0.0132404181184669
1.0,0.0131487889273356
1.0,0.0130584192439862
1.0,0.0129692832764505
1.0,0.0128813559322033
1.0,0.0127946127946127
1.0,0.0127090301003344
1.0,0.0126245847176079
1.0,0.0125412541254125
1.0,0.0124590163934426
1.0,0.0123778501628664
1.0,0.0122977346278317
1.0,0.0122186495176848
1.0,0.0121405750798722
1.0,0.012063492063492
1.0,0.011875
